代码,名称,推荐,评分,RSI,信号,止损参考,量比,MA状态
600136,,🟡 谨慎买入,2.8,55.0,RSI=55.0 中性区间 | MA5 上穿 MA10 金叉 | 价格>1.83 MA20 多头 | MACD 金叉 | 放量1.85倍站稳MA20 | 大盘弱，信号乘0.7（4→2.8）,止损：1.68（-13.0%）（大盘弱，建议轻仓）,1.85,above
688360,,🟡 谨慎买入,2.1,56.13,RSI=56.13 中性区间 | 价格>18.60 MA20 多头 | MACD 金叉 | 放量2.31倍站稳MA20 | 大盘弱，信号乘0.7（3→2.1）,止损：16.39（-15.1%）（大盘弱，建议轻仓）,2.31,above
603291,,🟡 谨慎买入,2.1,52.8,RSI=52.8 中性区间 | 价格>11.53 MA20 多头 | MACD 金叉 | 放量1.45倍站稳MA20 | 大盘弱，信号乘0.7（3→2.1）,止损：10.39（-16.1%）（大盘弱，建议轻仓）,1.45,above
600539,,🟡 谨慎买入,1.4,63.6,RSI=63.6 中性区间 | 价格>11.78 MA20 多头 | 放量3.0倍站稳MA20 | 大盘弱，信号乘0.7（2→1.4）,止损：10.35（-19.8%）（大盘弱，建议轻仓）,3.0,above
600163,,🟡 谨慎买入,1.4,73.13,RSI=73.13 > 70 超买 | MA5 上穿 MA10 金叉 | 价格>6.59 MA20 多头 | MACD 金叉 | 大盘弱，信号乘0.7（2→1.4）,止损：6.25（-17.1%）（大盘弱，建议轻仓）,1.12,above
601869,,🟡 谨慎买入,1.4,61.23,RSI=61.23 中性区间 | 价格>229.96 MA20 多头 | 放量1.37倍站稳MA20 | 大盘弱，信号乘0.7（2→1.4）,止损：205.74（-19.8%）（大盘弱，建议轻仓）,1.37,above
603808,,🟡 谨慎买入,1.4,54.76,RSI=54.76 中性区间 | 价格>9.74 MA20 多头 | 放量3.8倍站稳MA20 | 大盘弱，信号乘0.7（2→1.4）,止损：8.35（-19.9%）（大盘弱，建议轻仓）,3.8,above
600158,,🟡 谨慎买入,1.4,63.36,RSI=63.36 中性区间 | 价格>10.61 MA20 多头 | 放量2.31倍站稳MA20 | 大盘弱，信号乘0.7（2→1.4）,止损：9.65（-14.1%）（大盘弱，建议轻仓）,2.31,above
600721,,🟡 谨慎买入,1.4,63.82,RSI=63.82 中性区间 | 价格>9.11 MA20 多头 | 放量2.57倍站稳MA20 | 大盘弱，信号乘0.7（2→1.4）,止损：8.25（-14.0%）（大盘弱，建议轻仓）,2.57,above
600316,,🟡 谨慎买入,1.4,51.82,RSI=51.82 中性区间 | 价格>40.05 MA20 多头 | 放量2.42倍站稳MA20 | 大盘弱，信号乘0.7（2→1.4）,止损：35.14（-15.9%）（大盘弱，建议轻仓）,2.42,above
600234,,🟡 谨慎买入,1.4,59.54,RSI=59.54 中性区间 | 价格>13.95 MA20 多头 | MACD 金叉 | 大盘弱，信号乘0.7（2→1.4）,止损：12.51（-17.3%）（大盘弱，建议轻仓）,1.27,above
603829,,🟡 谨慎买入,1.4,63.34,RSI=63.34 中性区间 | 价格>26.59 MA20 多头 | 放量1.4倍站稳MA20 | 大盘弱，信号乘0.7（2→1.4）,止损：23.71（-16.8%）（大盘弱，建议轻仓）,1.4,above
600802,,🟡 谨慎买入,1.4,51.9,RSI=51.9 中性区间 | 价格>6.09 MA20 多头 | 放量2.73倍站稳MA20 | 大盘弱，信号乘0.7（2→1.4）,止损：5.28（-15.8%）（大盘弱，建议轻仓）,2.73,above
600433,,🟡 谨慎买入,1.4,55.81,RSI=55.81 中性区间 | 价格>3.58 MA20 多头 | 放量1.53倍站稳MA20 | 大盘弱，信号乘0.7（2→1.4）,止损：3.12（-15.7%）（大盘弱，建议轻仓）,1.53,above
603777,,🟡 谨慎买入,1.4,59.06,RSI=59.06 中性区间 | 价格>13.01 MA20 多头 | 放量2.58倍站稳MA20 | 大盘弱，信号乘0.7（2→1.4）,止损：12.15（-12.5%）（大盘弱，建议轻仓）,2.58,above
600125,,🟡 谨慎买入,1.4,57.31,RSI=57.31 中性区间 | 价格>6.53 MA20 多头 | 放量1.88倍站稳MA20 | 大盘弱，信号乘0.7（2→1.4）,止损：5.99（-10.6%）（大盘弱，建议轻仓）,1.88,above
